filename, language, JSON, Properties, Markdown, SQL, TypeScript, JavaScript, HTML, CSS, comment, blank, total
c:\Users\punk4\Desktop\VUT\5. Semester\IIS\Project\ISS\client\src\app\Components\show-user\show-user.component.ts, TypeScript, 0, 0, 0, 0, 47, 0, 0, 0, 0, 4, 51
c:\Users\punk4\Desktop\VUT\5. Semester\IIS\Project\ISS\client\src\app\Components\team-listing\team-listing.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\punk4\Desktop\VUT\5. Semester\IIS\Project\ISS\client\src\app\Components\team-listing\team-listing.component.html, HTML, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
c:\Users\punk4\Desktop\VUT\5. Semester\IIS\Project\ISS\client\src\app\Components\team-listing\team-listing.component.ts, TypeScript, 0, 0, 0, 0, 63, 0, 0, 0, 0, 10, 73
c:\Users\punk4\Desktop\VUT\5. Semester\IIS\Project\ISS\client\src\app\Components\topbar\topbar.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 65, 0, 11, 76
c:\Users\punk4\Desktop\VUT\5. Semester\IIS\Project\ISS\client\src\app\Components\topbar\topbar.component.html, HTML, 0, 0, 0, 0, 0, 0, 35, 0, 0, 1, 36
c:\Users\punk4\Desktop\VUT\5. Semester\IIS\Project\ISS\client\src\app\Components\topbar\topbar.component.ts, TypeScript, 0, 0, 0, 0, 52, 0, 0, 0, 0, 13, 65
c:\Users\punk4\Desktop\VUT\5. Semester\IIS\Project\ISS\client\src\app\Components\tournament-listing\tournament-listing.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\punk4\Desktop\VUT\5. Semester\IIS\Project\ISS\client\src\app\Components\tournament-listing\tournament-listing.component.html, HTML, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
c:\Users\punk4\Desktop\VUT\5. Semester\IIS\Project\ISS\client\src\app\Components\tournament-listing\tournament-listing.component.ts, TypeScript, 0, 0, 0, 0, 37, 0, 0, 0, 0, 8, 45
c:\Users\punk4\Desktop\VUT\5. Semester\IIS\Project\ISS\client\src\app\Components\user-listing\user-listing.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\punk4\Desktop\VUT\5. Semester\IIS\Project\ISS\client\src\app\Components\user-listing\user-listing.component.html, HTML, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 11
c:\Users\punk4\Desktop\VUT\5. Semester\IIS\Project\ISS\client\src\app\Components\user-listing\user-listing.component.ts, TypeScript, 0, 0, 0, 0, 46, 0, 0, 0, 0, 9, 55
c:\Users\punk4\Desktop\VUT\5. Semester\IIS\Project\ISS\client\src\app\Components\user\user.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\punk4\Desktop\VUT\5. Semester\IIS\Project\ISS\client\src\app\Components\user\user.component.html, HTML, 0, 0, 0, 0, 0, 0, 49, 0, 0, 5, 54
c:\Users\punk4\Desktop\VUT\5. Semester\IIS\Project\ISS\client\src\app\Components\user\user.component.ts, TypeScript, 0, 0, 0, 0, 127, 0, 0, 0, 0, 18, 145
c:\Users\punk4\Desktop\VUT\5. Semester\IIS\Project\ISS\client\src\app\Services\team.service.ts, TypeScript, 0, 0, 0, 0, 252, 0, 0, 0, 0, 56, 308
c:\Users\punk4\Desktop\VUT\5. Semester\IIS\Project\ISS\client\src\app\Services\tournament-registration.service.ts, TypeScript, 0, 0, 0, 0, 244, 0, 0, 0, 0, 50, 294
c:\Users\punk4\Desktop\VUT\5. Semester\IIS\Project\ISS\client\src\app\Services\tournament.service.ts, TypeScript, 0, 0, 0, 0, 108, 0, 0, 0, 0, 20, 128
c:\Users\punk4\Desktop\VUT\5. Semester\IIS\Project\ISS\client\src\app\Services\user.service.ts, TypeScript, 0, 0, 0, 0, 273, 0, 0, 0, 1, 59, 333
c:\Users\punk4\Desktop\VUT\5. Semester\IIS\Project\ISS\client\src\app\app-routing.module.ts, TypeScript, 0, 0, 0, 0, 56, 0, 0, 0, 0, 3, 59
c:\Users\punk4\Desktop\VUT\5. Semester\IIS\Project\ISS\client\src\app\app.module.ts, TypeScript, 0, 0, 0, 0, 43, 0, 0, 0, 0, 3, 46
c:\Users\punk4\Desktop\VUT\5. Semester\IIS\Project\ISS\client\src\environments\environment.prod.ts, TypeScript, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
